Ticketid,Calendar Week ,Ticket Create Time,Priority,Site,Problem Description,General Category,Sub Category,Resolution,No
INC000005511519,CW: 2021/39,9/18/2021 8:15:30 AM,Low,Melaka,"ISCF8CG8154KXC.infineon.com, 172.17.2.77, INFINEON\MdZam, MKZ/B5.G.R01.P, 

User: INFINEON\MdZam

PC name: ISCF8CG8154KXC.infineon.com

Contact: 
+606-2515514
+60143203825

Issue:
-EQSTAT can proceed normally but ""Change lot"" in red status

Equipment name: DMC004",Integration,EAF/EAFA,"1) Findings: EAF instance is not communicating for DMC004

2) Containment Action*: Restarted the instance and it is communicating. No feedback from user. Proceed to close ticket.

3) FAQ: 

* Mandatory fields.",1
INC000005525835,CW: 2021/39,9/24/2021 4:12:58 PM,Low,Melaka,"(1) Problem description on error*: (Including screenshot of error) 
EAF.CreateEAJob: Cannot create job. Equipment is not in control state ONLINE/REMOTE

(2) Site*: Mark ""x"" for user site

[  ] BTH 		[  ] WUX CC		[  ] TIJ
[  ] SIN 		[  ] WUX DS		[  ] RBG 		
[x  ] MKZ 		[  ] WUX HPS		[  ] CJJ     

(3) Lot Number:
1E129234G01

(4) Equipments affected:
SIM026


(10)Affected area contact number*:
01135389609
062515160
*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state , INFINEON\MohdYuRo, MKZ/B8.3.R01.P, ,",Integration,EAF/EAFA,"1) Findings: equipment shows unplanned shutdown

2) Containment Action*:ask user to try manual pressing button on EQSTAT and check whether status reflect on TFM.

3) FAQ: 

* Mandatory fields.",2
INC000005529910,CW: 2021/39,9/27/2021 3:56:28 PM,Low,Singapore,"Problem Description:
	1: EAF.AbortTransportJob: (20) General Error. Equipment rejected command. Parameter invalid. Can be CARRIERID not exist, DEST invalid

Site:
	SIN

Lot Number:
	84P2Y1850J2

Equipments Affected:
	J750-051

Camstar Server:
	SINSAPA24 (V7SU5.R8.3.RC1a)

Integration Application:
	

Printer:
	

Affected Area Contact Number:
	0271

",Integration,EAF/EAFA,"When checking lot status job had already been aborted, informed the user, according to error this was invalid parameter in EAF.AbortTransportJob message.",3
INC000005542292,CW: 2021/39,10/1/2021 8:17:07 PM,Critical,Singapore,"Problem Description:
	?Camstar.TrackInXml: Error from IFXCamstarGateway with Error Code: 103 and Error Message: Generic Error: Service cannot be processed now. Please try again later

Site:
	SIN

Lot Number:
	84P2U507G13

Equipments Affected:
	V93K-005

Camstar Server:
	SINSAPA23 (V7SU5.R8.3.RC1a

Integration Application:
	

Printer:
	

Affected Area Contact Number:
	68400271

",Integration,EAF/EAFA,"When check lot status lot had already performed Track In, verified with the user which confirmed it was Ok now, mentioned that could close the ticket.",4
INC000005542904,CW: 2021/40,10/3/2021 5:25:04 AM,Low,Singapore,"(1) Problem description on error*: (Including screenshot of error) 
Missing test summary in Camstar  

User provided 6 lots, 4 lots able to re-insert missing test summary, left the below 2 unable to insert.

4) LOT ID : ZA132166IA6
Test Flag : “ N ” missing test summary in Camstar
Test Mode : B11P
Node Name: SINF7591
Temp: 25
Equipment Type : J750-091
Equipment ID : MT-004
Filename:\\wproj500.sin.infineon.com\ArchView\06_BE_TestSum\2021\32\ZA132166\ZA132166IA6_B11P_N_20210929123317_M5240C12B8PJ7_SINF7591_sum.txt

(5) LOT ID :  ZA101303G09
Test Flag : “ N” missing test summary in Camstar    
Test Mode : B61P                                                           
Node Name:  SINFFX38
Temp: -43
Equipment Type : FLEX-038
Equipment ID : DM-086
Filename:\\wproj500.sin.infineon.com\ArchView\06_BE_TestSum\2021\01\ZA101303\ZA101303G09_B61P_N_20211003052009_S9266X8BX507_SINFFX38_sum.txt


(2) Site*: Mark ""x"" for user site

[  ] BTH 		[  ] WUX CC		[  ] TIJ
[X] SIN 		[  ] WUX DS		[  ] RBG 		
[  ] MKZ 		[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: ZA132400G03,ZA047235G34, ZA127028G06, ZA132166IA6, ZA101303G09 & ZA123388G13

(4) Equipments affected: 

(5) Equipment/PC name: ISCN5CG938C7BT.infineon.com,

(6) Camstar Server*: 
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI			[  ] GPN			[  ] XMES  	   
[  ] DDM			[  ] StMS		        [  ] XTEST UI  
[  ] EAF			[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ*: https://faqstorage.infineon.com/KnowledgebaseArticle113067.aspx

(10)Affected area contact number*: +6568400297

(11)Alt Contact Person Name (Compulsory for Critical)* 

(12)Alt Contact Person Number (Compulsory for Critical)*
 
* Mandatory fields.

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in ",Integration,EAF/EAFA,"1) Findings: 

2) Containment Action*:Repump the Test Summary 

3) FAQ: 

* Mandatory fields.",5
INC000005543005,CW: 2021/40,10/3/2021 8:55:17 PM,Low,Singapore,"Problem Description:
	File ""\\wproj500.sin.infineon.com\ArchView\06_BE_TestSum\2021\01\ZA101303\ZA101303G09_B61P_N_20211003052009_S9266X8BX507_SINFFX38_sum.txt"" found in Archive Viewer but not in Camstar. Please help transfer N summary (B61P) from FLEX-038 to Camstar.

Site:
	SIN

Lot Number:
	ZA101303G09

Equipments Affected:
	FLEX-038

Camstar Server:
	SINSAPA23

Integration Application:
	

Printer:
	

Affected Area Contact Number:
	0080

",Integration,EAF/EAFA,INC000005542904- Issue already solved in this incident ticket,6
INC000005545228,CW: 2021/41,10/4/2021 10:58:49 AM,Low,Singapore,"(1) Problem description on error*: (Including screenshot of error) Camstar.TrackInXml: Error from IFXCamstarGateway with Error Code: 103 and Error Message: Generic Error: Service cannot be processed now. Please try again later.

(2) Site*: Mark ""x"" for user site

[  ] BTH 		[  ] WUX CC		[  ] TIJ
[X] SIN 		[  ] WUX DS		[  ] RBG 		
[  ] MKZ 		[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: 84P2X987X06

(4) Equipments affected: V93K-014

(5) Equipment/PC name: ISCF8CC0090KHW.infineon.com

(6) Camstar Server*: SINSAPA21
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI			[  ] GPN			[  ] XMES  	   
[  ] DDM			[  ] StMS		        [  ] XTEST UI  
[  ] EAF			[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ*:

(10)Affected area contact number*: +6568664156

(11)Alt Contact Person Name (Compulsory for Critical)* 

(12)Alt Contact Person Number (Compulsory for Critical)*
 
* Mandatory fields.

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state 

ISCF8CC0090KHW.infineon.com, 172.20.117.110, INFINEON\Inciso, SIN_W/KW, ,",Integration,EAF/EAFA,"1) Findings: Instance was not communicating.

2) Containment Action*: Restarted instance V93K-014, it is now communicating.

3) FAQ: N/A.

* Mandatory fields.",7
INC000005560165,CW: 2021/41,10/11/2021 4:07:38 AM,High,Melaka,"(1) Problem description on error*: (Including screenshot of error) 

- Missing test summary

Equipment Type: OSTESTER
Equipment ID: SIR022
Test Mode: B15P
Test Flag: F
Lot ID: 1E132134G08

(2) Site*: Mark ""x"" for user site

[  ] BTH 		[  ] WUX CC		[  ] TIJ
[  ] SIN 		[  ] WUX DS		[  ] RBG 		
[ x ] MKZ 		[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: 1E132134G08

(4) Equipments affected: SIR022

(5) Equipment/PC name: 

(6) Camstar Server*: 
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI			[  ] GPN			[  ] XMES  	   
[  ] DDM			[  ] StMS		        [  ] XTEST UI  
[  ] EAF			[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ*: https://faqstorage.infineon.com/KnowledgebaseArticle126629.aspx

(10)Affected area contact number*: +6062515771

(11)Alt Contact Person Name (Compulsory for Critical)* 

(12)Alt Contact Person Number (Compulsory for Critical)*
 
* Mandatory fields.

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state , 

INFINEON\Hassan, MKZ/B8.3.R01.P, ,",Integration,EAF/EAFA,"1) Findings: track-in time wrong

2) Containment Action*:  modify track-in time ,and recover testing summary file, then ok

3) FAQ: 

* Mandatory fields.",8
INC000005567616,CW: 2021/42,10/13/2021 11:18:25 AM,Low,Singapore,"(1) Problem description on error* (Including screenshot of error):  
Missing test summary in Camstar  
Found in Archive Viewer but not transfer in Camstar 

LOT ID :  ZA125042G06
Summary report:10/13/2021 06:40:21
Test Flag : “ W ” missing test summary in Camstar    
Test Mode : B61P                                                           
Node Name:  SINF7548
Equipment Type : J750-048
Equipment ID : DM-092
Filename:\\wproj500.sin.infineon.com\ArchView\06_BE_TestSum\2021\25\ZA125042\ZA125042G06_B61P_W_20211013063039_M1828A8BLP3MJ7_SINF7548_sum.txt
Department: Production Test(Singapore)
   
(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[ x ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1		[  ] MKZ Others		[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: 

(4) Equipments affected:

(5) Equipment/PC name:

(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*: +65 6840 0297

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCN5CG938C7BT.infineon.com, 10.229.116.21, INFINEON\GohSekFa, SIN_W, ,",Integration,EAF/EAFA,"1) Findings:  Test summary missing 

2) Containment Action*:ZA125042G06  did a repump for b61p W

3) FAQ: 

* Mandatory fields.",9
INC000005568798,CW: 2021/41,10/14/2021 12:48:19 AM,Low,Melaka,"(1) Problem description on error* (Including screenshot of error):  
EAF.CreateEAJob: General Error. Unable to execute Host Command on the Equipment. ReturnCode: -1


(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[ x ] MKZ M1		[  ] MKZ Others		[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: ZF128399G15

(4) Equipments affected:PDBGASM018

(5) Equipment/PC name:ISCW8CC0230NH3

(6) Camstar Server*:MKZSAPA21
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):https://faqstorage.infineon.com/KnowledgebaseArticle126676.aspx

(10) Affected area contact number*: 6062515646 / 0143400705 - fariza

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCW8CC0230NH3.infineon.com, 10.233.116.12, INFINEON\IsmilNor, MKZ/B4.1.R01.P, ,",Integration,EAF/EAFA,"1) Findings: 
Equipment status back to normal.
Lot has move out successfully.
Currently at P_Mould_Cure.

2) Containment Action*: No action taken by BOC.

3) FAQ: 

* Mandatory fields.",10
