Ticket ID,Site Default,Calendar Week ,Ticket Create Time,Problem Description,General Category,Sub Category,Resolution,Priority,No.,Count of Calendar Week 
INC000005525900,Cegled,CW: 2021/39,9/24/2021 9:43:54 PM,"*Problem description / Error message:  The mentioned items are stucked in inprocess state in 20000017 spec without scan name.
*Site (WAR/ CEG): CEG
*Affected line (PowerLine / HD-Line / EASY / Sinter Line/ Econo1/Econo2/ 62mm/ IHM): Econo1
Fauf / Lot ID: 81470360
Area (e.g. Chip soldering): 
Interface (Camstar / XMES/ Equipment): Camstar
*Equipment or Process (ID, Equipment number): 
Host Name: 
Screenshot of the error message: 
*Contact: 

If applicable: 
Carriers / Items affected (ID): 
81470360-itm0464
81470360-itm0465
81470360-itm0466
81470360-itm0467
81470360-itm0468
81470360-itm0469
81470360-itm0470",Procedural,Others,Scan names were added for the mentioned items,Low,1,1
INC000005526140,Cegled,CW: 2021/39,9/24/2021 8:26:15 PM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	81468209;81465490;81468523

Area:
	Automata Csomagoló

Interface:
	Camstar

Equipments or Process Affected:
	MarkScanPack_001

Host name:
	CEGBEARAPB

Problem description / Error message:
	az automata csomagoló nem tudja lezárni ENG-be a tételeket ki kellene mozgatni ?ket

Contact Phone Number:
	+36307570188

",Procedural,Others,"The mentioned lots has been moved to the next step, after that the lots could be closed.",Low,2,1
INC000005526993,Cegled,CW: 2021/39,9/26/2021 9:57:04 AM,"Site:
	CEG

Affected Line:
	Econo1

Fauf (Fertigungsauftrag) / Lot ID:
	81472844/ HO2812P0

Area:
	VADU /systemsoldering

Interface:
	Camstar

Equipments or Process Affected:
	VAdu 37 equipment

Host name:
	

Problem description / Error message:
	Can't  booking  in camstar , maybe someone close it. 

Contact Phone Number:
	+36309312821

",Integration,XMES,"Lot was closed, that is reason why it could not be booked further.",Low,3,1
INC000005528954,Cegled,CW: 2021/39,9/27/2021 11:19:45 AM,"*Problem description / Error message: 
*Site (WAR/ CEG):CEG
*Affected line (PowerLine / HD-Line / EASY / Sinter Line/ Econo1/Econo2/ 62mm/ IHM): Econo2
Fauf / Lot ID: 81476036  
Product: 47753
Area (e.g. Chip soldering): X-Ray / Rontgen vizsgalat
Interface (Camstar / XMES/ Equipment): RONTGEN-7
*Equipment or Process (ID, Equipment number): 
Host Name: 
Screenshot of the error message: 
Sziasztok!

A  81476036  tételnél szeretnénk  egyik wt-r?l másik wt-re modult át tettni mert a wt  görbe

Jó wt 0100113728900003

A rossz wt 0100113728000009

Köszönöm Irén

*Contact: Dezsone Lakos Iren Erzsebet

If applicable: 
Carriers / Items affected (ID): 
Jó wt 0100113728900003

A rossz wt 0100113728000009",Platform,Others,"carrier change done, reply email sent some minutes ago: Szia Irén, 

ott van már, elintéztem.
Kérem legközelebb adjatok fel jegyet.
(melyik lot, melyik product, melyik wt-r?l, melyik üres szabad wt-re, miért, melyik gépen folytatnátok paraméterekkel)

További jó napot, 
Péter",Low,4,1
INC000005530310,Cegled,CW: 2021/39,9/27/2021 9:00:45 PM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	81472643

Area:
	opis

Interface:
	

Equipments or Process Affected:
	OPIS

Host name:
	CEGFAB62OPIS

Problem description / Error message:
	Eway-ben rosszul jelentettek jó darabszámot a kollégák mínuszban opis állomáson.

Contact Phone Number:
	308311776

",Procedural,Others,Wrong request - BOC can not set SAP data manually. wrong quantity need to send manually in SAP,Low,5,1
INC000005530559,Cegled,CW: 2021/39,9/28/2021 3:59:51 AM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	System soldering

Interface:
	Equipment

Equipments or Process Affected:
	Vadu 7

Host name:
	CEGBEARVADU07

Problem description / Error message:
	Nem áll át az EQstat normál gyártásra.

Contact Phone Number:
	+36304238256

",Procedural,Others,Workmethod Issue- No TFM status on EQSAT because of wrong registered by Operator,Low,6,1
INC000005530567,Cegled,CW: 2021/39,9/28/2021 4:16:56 AM,"TFM nem jól mutatja a termel? gépet(VADU-10). NCM státuszban van a TFM, nem kommunikál.

Other Relevant Hardware:
	iPC E.Q. Stat monitor

",Platform,Others,"When checked, the TFM status is already on normal production.",Low,7,1
INC000005531464,Cegled,CW: 2021/39,9/28/2021 9:41:19 AM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	Önt?

Interface:
	Equipment

Equipments or Process Affected:
	Szilikon önt? 6 

Host name:
	ISCFS4LA9667

Problem description / Error message:
	Az EQstat nem frissíti magát automatikusan a megfelel? gyártási folyamatra.

Contact Phone Number:
	300195220

",Configuration,Others,"10002264 PottingSystem_006 : mde  is aktív produktiv mint az ipc ben az eq stat, valamint a TFM prd, tfm statusz változott ma
(mde and eqstat both on same prod status in tfm state prd, tfm state changed today)",Low,8,1
INC000005531475,Cegled,CW: 2021/39,9/28/2021 9:45:00 AM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	

Area:
	

Interface:
	Equipment

Equipments or Process Affected:
	Szilikon önt? 4

Host name:
	ISCFS4LA9653

Problem description / Error message:
	Az EQ stat nem frissíti a felületet a megfelel? gyártási folyamatra.

Contact Phone Number:
	300195220

",Procedural,Others,answered by email,Low,9,1
INC000005532073,Cegled,CW: 2021/39,9/28/2021 12:01:06 PM,"Site:
	CEG

Affected Line:
	Econo2

Fauf (Fertigungsauftrag) / Lot ID:
	81472562

Area:
	Rendszerforrasztás

Interface:
	Camstar

Equipments or Process Affected:
	Vadu 23

Host name:
	CEGBEARVADU23

Problem description / Error message:
	A kollégan? rossz wt-t regisztrált be camstarba a dummy vadu23-n
	Kérlek a modulokat helyezzétek át:
	Err?l: 0100104502900322
	Erre: 0100104502900607

Contact Phone Number:
	06308311776

Carriers / Items affected (ID):
	0100104502900322 

",Procedural,Others,"carrier changed, you can track in at RONTGEN-7",Low,10,1
